Tên môn học, Số tín chỉ, Điểm, Điểm chữ, Điểm 4, Học kỳ, Lớp, Ghi chú
MTH00030 - Đại số tuyến tính, 3, 7.3, B+, 3.15, 23-24/2, 23TNT1, CK = 5.3
BAA00004 - Pháp luật đại cương, 3, 7.4, B+, 3.2, 23-24/2, 23TNT1, CK=7.0(60%);GK=8.0(40%)
MTH00082 - Thực hành Vi tích phân 2B, 1, 8.4, A., 3.7, 23-24/2, 23TNT1A, CK = 7.3
PHY00001 - Vật l‎‎ý đại cương 1 (Cơ - Nhiệt), 3, 8.6, A., 3.8, 23-24/2, 23TNT1, CK = 8.0
MTH00004 - Vi tích phân 2B, 3, 6.1, B., 2.55, 23-24/2, 23TNT1, CK = 5.5
Điểm trung bình tích lũy (GPA): 7.8482758620689665
Điểm trung bình tích lũy (GPA) hệ 4: 3.4034482758620688
Điểm trung bình học tập: 7.8482758620689665
Số tín chỉ tích lũy: 29
Tổng điểm tích lũy: 227.60000000000002
Tổng học phần: 17
Tổng học phần trong GPA: 11
